"starfire_incident_id","incident_datetime","alarm_box_borough","alarm_box_number","alarm_box_location","incident_borough","zipcode","policeprecinct","citycouncildistrict","communitydistrict","communityschooldistrict","congressionaldistrict","alarm_source_description_tx","alarm_level_index_description","highest_alarm_level","incident_classification","incident_classification_group","dispatch_response_seconds_qy","first_assignment_datetime","first_activation_datetime","first_on_scene_datetime","incident_close_datetime","valid_dispatch_rspns_time_indc","valid_incident_rspns_time_indc","incident_response_seconds_qy","incident_travel_tm_seconds_qy","engines_assigned_quantity","ladders_assigned_quantity","other_units_assigned_quantity"
"500127850130001","2005-01-01T00:00:01.000","RICHMOND / STATEN ISLAND","2785","MERRYMOUNT ST & NOME AVE","RICHMOND / STATEN ISLAND","10314","121","51","502","31","11","Phone","Initial Alarm","First Alarm","Carbon Monoxide - Code 1 - Investigation","NonMedical Emergencies","40","2005-01-01T00:00:41.000","2005-01-01T00:00:56.000","2005-01-01T00:06:38.000","2005-01-01T00:15:56.000","N","Y","397","357","1","1","0"
"500133070120471","2005-01-01T00:00:03.000","BRONX","3307","ARTHUR AVE & 183 ST","BRONX","10458","48","15","206","10","15","PD Link/Medical","DEFAULT RECORD","First Alarm","Medical MFA - PD Link","Medical MFAs","10","2005-01-01T00:00:13.000","2005-01-01T00:01:51.000","2005-01-01T00:04:23.000","2005-01-01T00:07:03.000","N","Y","260","250","1","0","0"
"500103630140001","2005-01-01T00:01:02.000","BROOKLYN","363","TOMPKINS & PARK AVES","BROOKLYN","11206","79","36","303","14","8","PD Link/Medical","Initial Alarm","First Alarm","Medical - Assist Civilian","Medical Emergencies","7","2005-01-01T00:01:09.000","2005-01-01T00:01:25.000","2005-01-01T00:03:28.000","2005-01-01T00:13:20.000","N","Y","146","139","1","0","0"
"500175150150001","2005-01-01T00:01:42.000","QUEENS","7515","ASTORIA BLVD AND 2ND ST","QUEENS","11102","114","22","401","30","12","Phone","DEFAULT RECORD","First Alarm","Non-Medical MFA - Phone","NonMedical MFAs","52","2005-01-01T00:02:34.000","2005-01-01T00:02:51.000","2005-01-01T00:07:09.000","2005-01-01T00:08:27.000","N","Y","327","275","3","2","1"
"500171620150003","2005-01-01T00:01:45.000","QUEENS","7162","JACKSON & 42 RD","QUEENS","11101","108","26","402","30","12","Private Fire Alarm","Initial Alarm","First Alarm","Sprinkler System - Working on System","NonMedical Emergencies","112","2005-01-01T00:03:37.000","2005-01-01T00:04:12.000","2005-01-01T00:08:16.000","2005-01-01T00:24:37.000","N","Y","391","279","1","1","1"
"500116870110001","2005-01-01T00:01:54.000","MANHATTAN","1687","RIVERSIDE DR & 162 ST","MANHATTAN","10032","33","7","112","6","13","Phone","Initial Alarm","First Alarm","Utility Emergency - Electric","NonMedical Emergencies","47","2005-01-01T00:02:41.000","2005-01-01T00:03:03.000","2005-01-01T00:08:19.000","2005-01-01T00:23:37.000","N","Y","385","338","0","1","0"
"500131160120002","2005-01-01T00:02:29.000","BRONX","3116","LORING PLACE & 179 ST","BRONX","10453","46","14","205","10","15","Private Fire Alarm","Initial Alarm","First Alarm","Alarm System - Unwarranted","NonMedical Emergencies","119","2005-01-01T00:04:28.000","2005-01-01T00:06:51.000","2005-01-01T00:09:49.000","2005-01-01T00:20:40.000","N","Y","440","321","1","1","0"
"500127370120001","2005-01-01T00:02:52.000","BRONX","2737","HOE AVE & JENNINGS ST","BRONX","10460","42","17","203","12","15","Phone","Initial Alarm","First Alarm","Non-Medical 10-91 (Unnecessary Alarm)","NonMedical Emergencies","55","2005-01-01T00:03:47.000","2005-01-01T00:04:04.000","2005-01-01T00:11:01.000","2005-01-01T00:20:23.000","N","Y","489","434","1","1","0"
"500126640140004","2005-01-01T00:03:35.000","BROOKLYN","2664","4 AVE & 54 ST","BROOKLYN","11220","72","38","307","15","7","Phone","Initial Alarm","First Alarm","Demolition Debris or Rubbish Fire","NonStructural Fires","41","2005-01-01T00:04:16.000","2005-01-01T00:04:31.000","2005-01-01T00:07:12.000","2005-01-01T00:23:43.000","N","Y","217","176","1","1","0"
"500107860110002","2005-01-01T00:04:26.000","MANHATTAN","786","7 AVE & 42 ST","MANHATTAN","10036","14","3","105","2","12","Private Fire Alarm","Initial Alarm","First Alarm","Alarm System - Unwarranted","NonMedical Emergencies","0",,,,"2005-01-01T00:15:55.000","N","N","0","0","0","0","0"
"500178430150004","2005-01-01T00:04:44.000","QUEENS","7843","ROOSEVELT AVE & 78 ST","QUEENS","11372","110","25","404","24","14","Private Fire Alarm","Initial Alarm","First Alarm","Alarm System - Unwarranted","NonMedical Emergencies","78","2005-01-01T00:06:02.000","2005-01-01T00:06:14.000","2005-01-01T00:10:05.000","2005-01-01T00:27:08.000","N","Y","321","243","1","1","1"
"500104150110003","2005-01-01T00:07:18.000","MANHATTAN","415","ON HOUSTON ST, 150 FT EAST OF AVE D","MANHATTAN","10009","9","2","103","1","7","EMS Link/Medical","Initial Alarm","First Alarm","Medical - EMS Link 10-91","Medical Emergencies","27","2005-01-01T00:07:45.000","2005-01-01T00:08:10.000",,"2005-01-01T00:11:29.000","N","N","0","0","1","0","0"
"500192370150005","2005-01-01T00:07:32.000","QUEENS","9237","N/SVC RD H. HARDING EXPY & 99 ST","QUEENS","11368","110","21","404","28","14","Phone","Initial Alarm","First Alarm","Multiple Dwelling 'A' - Other fire","Structural Fires","102","2005-01-01T00:09:14.000","2005-01-01T00:09:31.000","2005-01-01T00:13:10.000","2005-01-01T00:33:42.000","N","Y","338","236","3","2","2"
"500116840110006","2005-01-01T00:09:01.000","MANHATTAN","1684","FORT WASHINGTON AVE & 161 ST","MANHATTAN","10032","33","7","112","6","13","Phone","DEFAULT RECORD","First Alarm","Non-Medical MFA - Phone","NonMedical MFAs","74","2005-01-01T00:10:15.000","2005-01-01T00:10:29.000","2005-01-01T00:13:27.000","2005-01-01T00:14:29.000","N","Y","266","192","2","1","1"
"500181240150006","2005-01-01T00:09:42.000","QUEENS","8124","PS87 80 ST-BTW 67 DR & 68 AV","QUEENS",,,,,,,"Phone","DEFAULT RECORD","First Alarm","Non-Medical MFA - Phone","NonMedical MFAs","91","2005-01-01T00:11:13.000","2005-01-01T00:11:31.000","2005-01-01T00:14:47.000","2005-01-01T00:17:58.000","N","Y","305","214","1","1","0"
"500123090120004","2005-01-01T00:11:44.000","BRONX","2309","PARK AVE & 158 ST","BRONX","10451","44","16","204","7","15","Phone","DEFAULT RECORD","First Alarm","Non-Medical MFA - Phone","NonMedical MFAs","55","2005-01-01T00:12:39.000","2005-01-01T00:12:57.000","2005-01-01T00:14:57.000","2005-01-01T00:22:14.000","N","Y","193","138","2","2","1"
"500114830140005","2005-01-01T00:11:45.000","BROOKLYN","1483","10 AVE & 48 ST","BROOKLYN","11219","66","39","312","20","10","PD Link/Medical","Initial Alarm","First Alarm","Medical - PD Link 10-91","Medical Emergencies","11","2005-01-01T00:11:56.000","2005-01-01T00:12:22.000",,"2005-01-01T00:16:45.000","N","N","0","0","1","0","0"
"500167440150007","2005-01-01T00:12:12.000","QUEENS","6744","85 RD & 241 ST","QUEENS","11426","105","23","413","26","3","EMS Link/Medical","Initial Alarm","First Alarm","Medical - EMS Link 10-91","Medical Emergencies","85","2005-01-01T00:13:37.000","2005-01-01T00:14:06.000","2005-01-01T00:19:18.000","2005-01-01T00:30:32.000","N","Y","426","341","1","0","0"
"500100830130003","2005-01-01T00:12:27.000","RICHMOND / STATEN ISLAND","83","BRIGHTON AVE & JERSEY ST","RICHMOND / STATEN ISLAND",,,,,,,"Phone","Initial Alarm","First Alarm","Medical - Assist Civilian","Medical Emergencies","73","2005-01-01T00:13:40.000","2005-01-01T00:13:53.000","2005-01-01T00:15:38.000","2005-01-01T00:27:23.000","N","Y","191","118","1","0","0"
"500108990110009","2005-01-01T00:12:29.000","MANHATTAN","899","10 AVE & 55 ST","MANHATTAN","10019","18","6","104","2","10","Phone","Initial Alarm","First Alarm","Odor - Other Smoke","NonMedical Emergencies","58","2005-01-01T00:13:27.000","2005-01-01T00:13:37.000","2005-01-01T00:17:50.000","2005-01-01T00:28:20.000","N","Y","321","263","1","1","0"
"500104220110008","2005-01-01T00:12:49.000","MANHATTAN","422","2 AVE & 3 ST","MANHATTAN","10003","9","2","103","1","12","PD Link/Medical","Initial Alarm","First Alarm","Medical - PD Link 10-91","Medical Emergencies","13","2005-01-01T00:13:02.000","2005-01-01T00:14:50.000","2005-01-01T00:16:33.000","2005-01-01T00:18:50.000","N","Y","224","211","1","0","0"
